"Source (en)";"Target (ru)";"Comment"
"access control";"управление доступом";"means to ensure that access to assets is authorized and restricted based on business and security requirements"
"attack";"атака";"attempt to destroy, expose, alter, disable, steal or gain unauthorized access to or make unauthorized use of an asset"
"audit";"аудит";"systematic, independent and documented process for obtaining audit evidence and evaluating it objectively to determine the extent to which the audit criteria are fulfilled"
"audit scope";"область аудита";"extent and boundaries of an audit"
"authentication";"аутентификация";"provision of assurance that a claimed characteristic of an entity is correct"
"authenticity";"подлинность";"property that an entity is what it claims to be"
"availability";"доступность";"property of being accessible and usable on demand by an authorized entity"
"base measure";"основной показатель";"measure defined in terms of an attribute and the method for quantifying it"
"competence";"компетентность";"ability to apply knowledge and skills to achieve intended results"
"confidentiality";"конфиденциальность";"property that information is not made available or disclosed to unauthorized individuals, entities, or processes"
"conformity";"соответствие";"fulfilment of a requirement"
"consequence";"последствие";"outcome of an event affecting objectives"
"continual improvement";"постоянное улучшение";"recurring activity to enhance performance"
"control";"средство управления";"measure that is modifying risk"
"control objective";"цель управления";"statement describing what is to be achieved as a result of implementing controls"
"correction";"коррекция";"action to eliminate a detected nonconformity"
"corrective action";"корректирующее действие";"action to eliminate the cause of a nonconformity and to prevent recurrence"
"derived measure";"производный показатель";"measure that is defined as a function of two or more values of base measures"
"documented information";"документированная информация";"information required to be controlled and maintained by an organization and the medium on which it is contained"
"effectiveness";"результативность";"extent to which planned activities are realized and planned results achieved"
"event";"событие";"occurrence or change of a particular set of circumstances"
"external context";"внешний контекст";"external environment in which the organization seeks to achieve its objectives"
"governance of information security";"управление информационной безопасностью";"system by which an organization's information security activities are directed and controlled"
"governing body";"руководящий орган управления";"person or group of people who are accountable for the performance and conformity of the organization"
"indicator";"индикатор";"measure that provides an estimate or evaluation"
"information need";"информационная потребность";"insight necessary to manage objectives, goals, risks and problems"
"information processing facilities";"средства обработки информации";"any information processing system, service or infrastructure, or the physical location housing it"
"information security";"информационная безопасность";"preservation of confidentiality, integrity and availability of information"
"information security continuity";"непрерывность информационной безопасности";"processes and procedures for ensuring continued information security operations"
"information security event";"событие информационной безопасности";"identified occurrence of a system, service or network state indicating a possible breach of information security policy or failure of controls"
"information security incident";"инцидент информационной безопасности";"single or a series of unwanted or unexpected information security events that have a significant probability of compromising business operations"
"information security incident management";"менеджмент инцидентов информационной безопасности";"set of processes for detecting, reporting, assessing, responding to, dealing with, and learning from information security incidents"
"information security management system professional";"профессионал системы менеджмента информационной безопасности";"person who establishes, implements, maintains and continuously improves one or more information security management system processes"
"information sharing community";"сообщество обмена информацией";"group of organizations that agree to share information"
"information system";"информационная система";"set of applications, services, information technology assets, or other information-handling components"
"integrity";"целостность";"property of accuracy and completeness"
"interested party";"заинтересованная сторона";"person or organization that can affect, be affected by, or perceive itself to be affected by a decision or activity"
"internal context";"внутренний контекст";"internal environment in which the organization seeks to achieve its objectives"
"level of risk";"уровень риска";"magnitude of a risk expressed in terms of the combination of consequences and their likelihood"
"likelihood";"вероятность";"chance of something happening"
"management system";"система менеджмента";"set of interrelated or interacting elements of an organization to establish policies and objectives and processes to achieve those objectives"
"measure";"показатель";"variable to which a value is assigned as the result of measurement"
"measurement";"измерение";"process to determine a value"
"measurement function";"функция расчета производного показателя";"algorithm or calculation performed to combine two or more base measures"
"measurement method";"метод измерения";"logical sequence of operations, described generically, used in quantifying an attribute with respect to a specified scale"
"monitoring";"мониторинг";"determining the status of a system, a process or an activity"
"nonconformity";"несоответствие";"non-fulfilment of a requirement"
"non-repudiation";"неопровержимость авторства";"ability to prove the occurrence of a claimed event or action and its originating entities"
"objective";"задача";"result to be achieved"
"organization";"организация";"person or group of people that has its own functions with responsibilities, authorities and relationships to achieve its objectives"
"outsource";"передавать на аутсорсинг";"make an arrangement where an external organization performs part of an organization's function or process"
"performance";"показатель деятельности";"measurable result"
"policy";"политика";"intentions and direction of an organization, as formally expressed by its top management"
"process";"процесс";"set of interrelated or interacting activities which transforms inputs into outputs"
"reliability";"надежность";"property of consistent intended behaviour and results"
"requirement";"требование";"need or expectation that is stated, generally implied or obligatory"
"residual risk";"остаточный риск";"risk remaining after risk treatment"
"review";"анализ";"activity undertaken to determine the suitability, adequacy and effectiveness of the subject matter to achieve established objectives"
"review object";"объект анализа";"specific item being reviewed"
